ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
4928,TD-203b,Sheol,Fungal Solutions Inc.,FSOL,goldOre,AUO,4c0430b40fbf7fa175ed4a5a13682c6f,3.859999895095825,1,777,136959.890625,NCC,3,1664049885266,1666641885266,C
4927,TD-203b,Sheol,Megan's Refining LLC,MRF,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,200,67040,NCC,3,1664049821900,1664481821900,C
4925,TD-203b,Sheol,Megan's Refining LLC,MRF,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,200,67040,NCC,3,1664049816849,1664481816849,C
4924,TD-203b,Sheol,Megan's Refining LLC,MRF,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,200,67040,NCC,3,1664049815914,1664481815914,C
4912,TD-203b,Sheol,Repetitive Constructions,RPC,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,200,67418.203125,NCC,3,1663929049625,1666521049625,C
4861,TD-203b,Sheol,Waffles.inc,WINC,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,200,75000,NCC,3,1663662903648,1666254903648,C
4859,TD-203b,Sheol,Waffles.inc,WINC,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,200,75000,NCC,3,1663662902166,1666254902166,C
4858,TD-203b,Sheol,Repetitive Constructions,RPC,gasVent,GV,f8aebc7dd84ce14fae131aa0203d4498,0.25,0.15000000596046448,120,105019.4921875,NCC,3,1663659650668,1666251650668,C
4857,TD-203b,Sheol,Repetitive Constructions,RPC,gasVent,GV,f8aebc7dd84ce14fae131aa0203d4498,0.25,0.15000000596046448,20,17503.25,NCC,3,1663659642934,1666251642934,C
4837,TD-203b,Sheol,Megan's Refining LLC,MRF,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1,200,70098,NCC,3,1663598071491,1664462071491,PENDING
4573,TD-203b,Sheol,Waffles.inc,WINC,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1,200,70000,NCC,3,1661868127788,1664460127788,C
4572,TD-203b,Sheol,Waffles.inc,WINC,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1,200,70000,NCC,3,1661868126607,1664460126607,C

